company,code,subcode,amount,description,price
DIJET,NMIZP16-0105,ZPMT 160408R                      JC5015,90,לוחית ימנית לכרסום/שיקוע,19.35
DIJET,,ADMT100308PDER       JC5118,90,,
DIJET,,ZPMT 100308ZER-PL                    DH102,90,,
DIJET,NTICN12-5105,CNMG 120408R-SG                   JC8015,80,"לוחית לחריטה, מתק""ש מצופה",13
DIJET,NTIWN08-5120,WNMG 080408R-SG                   JC8015,80,"לוחית לחריטה, מתק""ש מצופה",14.36
DIJET,,APMT160408PDER       JC5118,80,,
DIJET,,TNMG160408-SZ       JC5118,80,,
DIJET,NTICN12-5108,CNMG 120412R-SG                   JC8015,70,"לוחית לחריטה, מתק""ש מצופה",13
DIJET,NMIZC10-0050,ZCMT 100308R                      JC5040,70,לוחית ימנית לכרסום/שיקוע,16.83
DIJET,,EOMT 060210ZER               JC8118,70,,
DIJET,,RDHX 12T3M0T                    JC8118,70,,
DIJET,,RDHX 1604MOT                     JC8118,70,,
DIJET,,SDEW090312ZER.   JC7550,70,,
DIJET,,ZPMT 100320ZER                         JC8050,70,,
DIJET,NMDWO04-0125,WOMW 04T215ZER    (PVD)           JC5118,60,לוחית כרסום ל-HIGH FEED MILLING,18.53
DIJET,NMIZP13-0105,ZPMT 13T308R                      JC5015,60,לוחית ימנית לכרסום/שיקוע,18.1
DIJET,NMIZP13-0210,ZPMT 13T308RP  (POLISHED)           FZ15,60,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,,APMT160408PDER       JC8015,60,,
DIJET,,ZDMT 13T320-RP                      FZ15,60,,
DIJET,,ZPMT 100308ZER-PL                    CX75,60,,
DIJET,NMDMSSP-0161,#SM-SE13 MR2    (SHIM FOR SE13T3)........,50,תחתית ללוחית SEMT13T3,28.12
DIJET,NMIEO06-0070,EOMW 060210ZER   (PVD)            JC7560,50,לוחית ימנית high feed milling,16.04
DIJET,NMDSP09-0010,IM-SP32GS          (PVD)          JC5015,50,"לוח'כר'מתקש מצופה,DIJET,כר'90",14.02
DIJET,NMDSP12-0033,"IM-SP43GS-N1  (PVD,SERRATED)      JC5040",50,"לוחית כרסום משוננת,ציפוי PVD",12.81
DIJET,NMDRD12-0305,RDMT 1204M0T    (PVD)             JC5118,50,לוחית כרסום לחוצה מצופה עגולה,15.04
DIJET,NMSDS12-0050,SDHW 1204AFTN                     JC5040,50,לוחית כרסום ISO  מצופה,13.97
DIJET,NMDWD05-0150,WDMT 050316ZER    (PVD)           JC5118,50,לוחית כרסום ל-HIGH FEED MILLING,18.69
DIJET,NMDWO04-0135,WOMT 04T215ZER    (PVD)           JC7560,50,לוחית כרסום ל-HIGH FEED MILLING,17.63
DIJET,NMIZC10-0060,ZCMT 100308R                      JC5015,50,לוחית ימנית לכרסום/שיקוע,18.59
DIJET,NMIZD10-0060,ZDMT 100308L                      JC5015,50,לוחית ימנית לכרסום/שיקוע,18.59
DIJET,NMIZD13-0050,ZDMT 13T308L                      JC5040,50,לוחית שמאלית לכרסום/שיקוע,16.67
DIJET,NMIZO06-0160,ZOMT 060204ZER   (PVD)            JC8050,50,לוחית ימנית high feed milling,13.54
DIJET,,ADMT100308PDER       JC8050,50,,
DIJET,,EPHW100316ZTR       DH102,50,,
DIJET,,RDHX 1003M0T                    DH103,50,,
DIJET,,RDMT 1004M0E                     JC8118,50,,
DIJET,,SNMG120412R-SG       JC8015,50,,
DIJET,,SDEW090312ZER.   JC7518,50,,
DIJET,,TNMG160408R-SG       JC8015,50,,
