company,code,subcode,במלאי,amount,description,price ,סהכ,category,subcategory,izo,grade,currency
DIJET,,BNM-160-SS                           DH108,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-200-SS                           DH108,,4,,€0.00,€0.00,other,,,,EUR
DIJET,,BNM-250-SS                             DH108,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,BNMM-08035S-S08C,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,BNMS 080025S-S08C,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,CNMG120404L-SG       JC8015,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,CNMG120404R-SG       JC8015,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,CNMG120404-SZ       JC5118,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,CNMG120412L-SG       JC8015,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,ENMU100412ZER-PH       JC8050,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,ENMU100412ZER-PH       JC8118,,10,,€0.00,€0.00,other,,,,EUR
DIJET,,ENMU100412ZER-SL       JC7518,,20,,€0.00,€0.00,other,,,,EUR
DIJET,,ENMU100412ZER-SL       JC7550,,4,,€0.00,€0.00,other,,,,EUR
DIJET,,EOMT 060210ZER               JC8118,,70,,€0.00,€0.00,other,,,,EUR
DIJET,,EOMW 060210ZER              JC8118,,110,,€0.00,€0.00,other,,,,EUR
DIJET,,EPHW100312ZER      JC8050,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,EPHW100316ZTR       DH102,,50,,€0.00,€0.00,other,,,,EUR
DIJET,,EPHW100316ZTR       JC6102,,40,,€0.00,€0.00,other,,,,EUR
DIJET,,EPHW100316ZTR       JC8118,,30,,€0.00,€0.00,other,,,,EUR
DIJET,,EXSKS-4052R-22,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,FRM-100-R10                         JC8015,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,FRM-120-R10                         JC8015,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,FRM-120-R20                         JC8015,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,GRM-160-R50                         JC8015,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,GRM-200-R60                         JC8015,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,IM-SP43GS-PH                      JC8050,,100,,€0.00,€0.00,other,,,,EUR
DIJET,,MBN-100-M6,,3,,€0.00,€0.00,other,,,,EUR
DIJET,,MBN-120-M6,,6,,€0.00,€0.00,other,,,,EUR
DIJET,,MBX-200-M10,,2,,€0.00,€0.00,other,,,,EUR
DIJET,,MBX-250-M12,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,MPM-5020-M10,,1,,€0.00,€0.00,other,,,,EUR
DIJET,,MQX2016-M8    (32140-6914),,1,MODULAR HEAD SYSTEM,€0.00,€0.00,other,,,,EUR
