#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NDTH150-0025,#180A-16.0                 M48+TIALN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",83.49
ALLIED,NDTH165-0030,#180A-16.5                 M48+TIALN/PVD,4,"להב קידוח, דגם HSS  ,T-A מצופה",90.43
ALLIED,NDTH170-0020,#180A-17.0                 M48+TIALN/PVD,6,"להב קידוח, דגם HSS  ,T-A מצופה",82.64
ALLIED,NDTH202-0011,#181A-.796  (20.24)        M48+TIALN/PVD,6,"להב קידוח, דגם HSSCO,T-A מצופה",83.37
ALLIED,NDTH234-0011,#181A-.9219 (23.42)        M48+TIALN/PVD,20,"להב קידוח, דגם HSSCO,T-A מצופה",80.11
ALLIED,NDTH183-0013,#181A-0023  (D=18.26)      M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",98.83
ALLIED,NDTH198-0013,#181A-0025  (D=19.84)      M48+TIALN/PVD,22,"להב קידוח, דגם HSSCO,T-A מצופה",105.2
ALLIED,NDTH214-0012,#181A-0027  (21.43)        M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",80
ALLIED,NDTH222-0012,#181A-0028  (22.223)       M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",79.03
ALLIED,NDTH238-0010,#181A-0030  (D=23.81)      M48+TIALN/PVD,8,"להב קידוח, דגם HSSCO,T-A מצופה",86.22
ALLIED,NDTH180-0014,#181A-18.0                 M48+TIALN/PVD,1,"להב קידוח, דגם HSSCO,T-A מצופה",79.71
ALLIED,NDTH185-0020,#181A-18.5                 M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",80
ALLIED,NDTH195-0011,#181A-19.5                 M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",79.16
ALLIED,NDTH200-0012,#181A-20.0                 M48+TIALN/PVD,4,"להב קידוח, דגם HSSCO,T-A מצופה",21.98
ALLIED,NDTH220-0015,#181A-22.0                 M48+TIALN/PVD,2,"להב קידוח, דגם HSSCO,T-A מצופה",91.49
ALLIED,NDTH230-0011,#181A-23.0                 M48+TIALN/PVD,8,"להב קידוח, דגם T-A, מתקש מצופה",99.3
ALLIED,NDTH240-0013,#181A-24.0                 M48+TIALN/PVD,6,"להב קידוח, דגם HSSCO,T-A מצופה",84.68
ALLIED,NDTH246-0020,#182A-0031      (24.61)   M48+TIALN/PVD,8,"להב קידוח, דגם T-A, מתקש מצופה",93.29
ALLIED,NDTH278-0014,#182A-0103 (27.78)         M48+TIALN/PVD,14,"להב קידוח, דגם T-A, מתקש מצופה",94.15
ALLIED,NDTH286-0010,#182A-0104  (28.57)        M48+TIALN/PVD,6,"להב קידוח, דגם T-A, מתקש מצופה",94.15
ALLIED,NDTH294-0010,#182A-0105  (29.37)        M48+TIALN/PVD,10,"להב קידוח, דגם T-A, מתקש מצופה",94.15
ALLIED,NDTH302-0010,#182A-0106  (30.16)        M48+TIALN/PVD,14,"להב קידוח, דגם T-A, מתקש מצופה",94.15
ALLIED,NDTH318-0010,#182A-0108  (31.75)        M48+TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",93.07
ALLIED,NDTH333-0012,#182A-0110    (33.34)      M48+TIALN/PVD,8,"להב קידוח, דגם HSS  ,T-A מצופה",57.54
ALLIED,NDTH258-0012,#182A-1.0156 (25.80)       M48+TIALN/PVD,4,"להב קידוח, דגם T-A, מתקש מצופה",120.64
ALLIED,NDTH266-0012,#182A-1.0469 (26.59)       M48+TIALN/PVD,6,"להב קידוח, דגם T-A, מתקש מצופה",0
ALLIED,NDTH270-0011,#182A-27.0                 M48+TIALN/PVD,2,"להב קידוח, דגם T-A, מתקש מצופה",93.07
ALLIED,NDTH280-0013,#182A-28.0                 M48+TIALN/PVD,8,"להב קידוח, דגם T-A, מתקש מצופה",96.64
